customer_id,event_time,event_type,amount
1,2024-04-06 16:00:00,stream,0.0
1,2024-04-06 18:00:00,login,0.0
1,2024-04-06 19:00:00,login,0.0
1,2024-04-06 22:00:00,login,0.0
1,2024-04-08 20:00:00,stream,0.0
1,2024-04-10 21:00:00,login,0.0
1,2024-04-18 18:00:00,login,0.0
1,2024-04-20 08:00:00,stream,0.0
1,2024-04-21 10:00:00,purchase,9.29
1,2024-04-27 11:00:00,login,0.0
1,2024-04-27 12:00:00,login,0.0
1,2024-04-28 06:00:00,login,0.0
1,2024-05-02 11:00:00,stream,0.0
1,2024-05-04 19:00:00,login,0.0
1,2024-05-07 06:00:00,stream,0.0
1,2024-05-07 16:00:00,stream,0.0
1,2024-05-08 22:00:00,stream,0.0
1,2024-05-11 23:00:00,login,0.0
1,2024-05-17 18:00:00,login,0.0
1,2024-05-21 17:00:00,stream,0.0
1,2024-06-01 22:00:00,login,0.0
1,2024-06-03 07:00:00,purchase,20.53
1,2024-06-03 23:00:00,login,0.0
1,2024-06-06 08:00:00,login,0.0
1,2024-06-08 08:00:00,login,0.0
1,2024-06-08 17:00:00,login,0.0
1,2024-06-08 17:00:00,stream,0.0
1,2024-06-10 10:00:00,login,0.0
1,2024-06-10 10:00:00,stream,0.0
1,2024-06-11 20:00:00,login,0.0
1,2024-06-12 15:00:00,login,0.0
1,2024-06-12 20:00:00,stream,0.0
1,2024-06-14 18:00:00,login,0.0
1,2024-06-15 12:00:00,login,0.0
1,2024-06-15 13:00:00,stream,0.0
1,2024-06-15 18:00:00,login,0.0
1,2024-06-20 11:00:00,purchase,10.66
1,2024-06-22 09:00:00,stream,0.0
1,2024-06-23 08:00:00,login,0.0
1,2024-06-29 19:00:00,login,0.0
1,2024-06-29 23:00:00,purchase,11.43
2,2024-04-09 07:00:00,login,0.0
2,2024-04-13 15:00:00,login,0.0
2,2024-04-16 20:00:00,login,0.0
2,2024-04-19 09:00:00,purchase,46.48
2,2024-04-21 16:00:00,login,0.0
2,2024-04-26 10:00:00,stream,0.0
2,2024-04-27 11:00:00,stream,0.0
2,2024-04-27 12:00:00,stream,0.0
2,2024-04-29 03:00:00,stream,0.0
2,2024-05-02 21:00:00,stream,0.0
2,2024-05-03 13:00:00,stream,0.0
2,2024-05-04 09:00:00,purchase,11.27
2,2024-05-09 16:00:00,stream,0.0
2,2024-05-13 12:00:00,login,0.0
2,2024-05-18 15:00:00,purchase,9.21
2,2024-05-21 13:00:00,purchase,12.58
2,2024-05-26 18:00:00,login,0.0
2,2024-05-29 00:00:00,stream,0.0
2,2024-05-30 18:00:00,stream,0.0
2,2024-06-01 20:00:00,login,0.0
2,2024-06-20 21:00:00,login,0.0
3,2024-04-04 08:00:00,stream,0.0
3,2024-04-06 09:00:00,stream,0.0
3,2024-04-12 01:00:00,login,0.0
3,2024-04-13 11:00:00,login,0.0
3,2024-04-13 16:00:00,stream,0.0
3,2024-04-15 06:00:00,login,0.0
3,2024-04-15 10:00:00,login,0.0
3,2024-04-19 10:00:00,login,0.0
3,2024-04-25 04:00:00,login,0.0
3,2024-04-28 06:00:00,stream,0.0
3,2024-05-02 14:00:00,purchase,11.08
3,2024-05-04 08:00:00,purchase,37.27
3,2024-05-09 16:00:00,purchase,14.82
3,2024-05-13 03:00:00,login,0.0
3,2024-05-18 09:00:00,stream,0.0
3,2024-05-21 19:00:00,stream,0.0
3,2024-05-25 09:00:00,login,0.0
3,2024-05-25 14:00:00,login,0.0
3,2024-05-27 14:00:00,login,0.0
3,2024-06-01 10:00:00,login,0.0
3,2024-06-01 17:00:00,login,0.0
3,2024-06-02 05:00:00,login,0.0
3,2024-06-10 10:00:00,login,0.0
3,2024-06-10 11:00:00,stream,0.0
3,2024-06-19 06:00:00,stream,0.0
3,2024-06-22 09:00:00,login,0.0
3,2024-06-22 13:00:00,login,0.0
3,2024-06-23 23:00:00,stream,0.0
4,2024-04-02 12:00:00,login,0.0
4,2024-04-08 02:00:00,login,0.0
4,2024-04-12 06:00:00,login,0.0
4,2024-04-13 07:00:00,purchase,24.93
4,2024-04-13 12:00:00,login,0.0
4,2024-04-18 22:00:00,login,0.0
4,2024-04-22 17:00:00,stream,0.0
4,2024-04-26 12:00:00,stream,0.0
4,2024-04-26 13:00:00,stream,0.0
4,2024-04-26 22:00:00,login,0.0
4,2024-04-27 08:00:00,stream,0.0
4,2024-05-06 07:00:00,stream,0.0
4,2024-05-07 22:00:00,login,0.0
4,2024-05-11 14:00:00,login,0.0
4,2024-05-18 06:00:00,login,0.0
4,2024-05-18 11:00:00,login,0.0
4,2024-05-19 10:00:00,login,0.0
4,2024-05-21 07:00:00,login,0.0
4,2024-05-21 13:00:00,login,0.0
4,2024-05-24 17:00:00,stream,0.0
4,2024-05-26 12:00:00,login,0.0
4,2024-05-27 12:00:00,login,0.0
4,2024-05-28 16:00:00,login,0.0
4,2024-06-01 23:00:00,purchase,10.38
4,2024-06-03 06:00:00,stream,0.0
4,2024-06-03 12:00:00,login,0.0
4,2024-06-08 01:00:00,login,0.0
4,2024-06-08 08:00:00,purchase,21.36
4,2024-06-08 11:00:00,login,0.0
4,2024-06-09 18:00:00,login,0.0
4,2024-06-10 10:00:00,login,0.0
4,2024-06-11 13:00:00,login,0.0
4,2024-06-12 13:00:00,stream,0.0
4,2024-06-15 14:00:00,stream,0.0
4,2024-06-17 22:00:00,login,0.0
4,2024-06-17 22:00:00,login,0.0
4,2024-06-22 12:00:00,stream,0.0
4,2024-06-23 11:00:00,stream,0.0
4,2024-06-26 23:00:00,stream,0.0
4,2024-06-29 22:00:00,login,0.0
5,2024-04-02 20:00:00,stream,0.0
5,2024-04-03 12:00:00,login,0.0
5,2024-04-06 23:00:00,login,0.0
5,2024-04-07 11:00:00,login,0.0
5,2024-04-08 03:00:00,login,0.0
5,2024-04-09 08:00:00,stream,0.0
5,2024-04-12 04:00:00,login,0.0
5,2024-04-20 05:00:00,login,0.0
5,2024-04-20 08:00:00,stream,0.0
5,2024-04-20 13:00:00,login,0.0
5,2024-04-20 15:00:00,login,0.0
5,2024-04-20 18:00:00,login,0.0
5,2024-04-20 20:00:00,login,0.0
5,2024-04-20 21:00:00,stream,0.0
5,2024-04-21 03:00:00,login,0.0
5,2024-04-26 23:00:00,stream,0.0
5,2024-04-27 18:00:00,purchase,16.53
5,2024-04-29 02:00:00,stream,0.0
5,2024-04-29 07:00:00,purchase,9.03
5,2024-04-30 21:00:00,stream,0.0
