customer_id,age,monthly_charge,n_support_tickets,legacy_score,gender,country,plan,acquisition_channel,device,tenure_days,tenure_log,is_new_customer,signup_month_sin,signup_month_cos,signup_is_weekend,events_90d,events_30d,events_7d,events_prior_60d,recency_days,active_days_30d,longest_gap_days,usage_trend_ratio,purchase_count_90d,purchase_amount_sum,purchase_amount_mean,purchase_amount_max,weekend_share,night_share,login_share,event_type_diversity,tickets_per_month,log_monthly_charge,age_missing,charge_per_event,log_charge_per_event,events_per_tenure_day,premium_high_tickets,basic_new_customer,tickets_x_recency,charge_x_recency,paid_search_low_usage,promo_freq,age_band,price_pressure,usage_state
4492,39.0,34.53,1.0,61.3,M,AE,premium,paid_search,,291.0,5.676753802268282,0.0,-1.0,-1.8369701987210297e-16,0.0,27.0,9.0,2.0,18.0,0.2916666666666667,9.0,9.458333333333332,0.8571428571428572,4.0,41.2,10.3,15.37,0.5185185185185185,0.0,0.37037037037037035,3.0,0.09345794392523366,3.541828511401901,0.0,1.2332142857142858,0.2177001916481437,0.3,0.0,0.0,0.2916666666666667,10.071250000000001,0.0,0.428125,q3,high,stable
4948,41.0,8.35,2.0,44.9,F,PK,basic,organic,ios,737.0,6.6039438246004725,0.0,1.2246467991473532e-16,-1.0,0.0,33.0,16.0,4.0,17.0,0.625,11.0,10.625000000000004,1.6,5.0,98.30000000000001,19.660000000000004,30.6,0.5151515151515151,0.12121212121212122,0.42424242424242425,3.0,0.07822685788787484,2.122261538862764,0.0,0.24558823529411763,-1.3641875853388608,0.36666666666666664,0.0,0.0,1.25,5.21875,0.0,0.04583333333333333,q4,normal,growing
3669,48.0,8.97,2.0,42.2,M,PK,basic,paid_search,ios,607.0,6.410174881966167,0.0,-0.5000000000000004,0.8660254037844384,0.0,34.0,8.0,1.0,26.0,0.7083333333333334,7.0,11.25,0.5517241379310345,4.0,76.17,19.0425,27.77,0.38235294117647056,0.0,0.4117647058823529,3.0,0.09419152276295133,2.1938856760707046,0.0,0.2562857142857143,-1.323185432791914,0.37777777777777777,0.0,0.0,1.4166666666666667,6.353750000000001,1.0,0.0008333333333333334,q5,normal,declining
1109,37.0,43.77,0.0,60.8,M,IN,premium,social,web,1318.0,7.1846291527173145,0.0,-0.5000000000000004,0.8660254037844384,0.0,67.0,31.0,6.0,36.0,0.041666666666666664,16.0,6.708333333333329,1.5897435897435899,7.0,117.60000000000001,16.8,38.07,0.6567164179104478,0.1044776119402985,0.4626865671641791,3.0,0.0,3.778948651202804,0.0,0.6436764705882353,-0.4251427432161931,0.7444444444444445,0.0,0.0,0.0,1.82375,0.0,0.144375,q3,normal,growing
5415,47.0,7.94,4.0,52.8,M,US,basic,partner,ios,449.0,6.1092475827643655,0.0,0.8660254037844387,-0.4999999999999998,1.0,27.0,15.0,4.0,12.0,0.08333333333333333,13.0,23.75,2.0,3.0,64.01,21.33666666666667,40.39,0.37037037037037035,0.18518518518518517,0.5925925925925926,3.0,0.25052192066805845,2.0719132752590443,0.0,0.2835714285714286,-1.2256343011071154,0.3,0.0,0.0,0.3333333333333333,0.6616666666666666,0.0,0.005833333333333334,q4,normal,growing
1290,35.0,19.21,0.0,55.6,F,UK,standard,paid_search,android,878.0,6.778784897685177,0.0,0.8660254037844386,0.5000000000000001,0.0,44.0,21.0,8.0,23.0,0.125,12.0,7.125,1.6153846153846152,5.0,108.81,21.762,46.48,0.5,0.1590909090909091,0.45454545454545453,3.0,0.0,2.955430976780465,0.0,0.42688888888888893,-0.8280763750512992,0.4888888888888889,0.0,0.0,0.0,2.40125,0.0,0.428125,q2,normal,growing
2695,43.0,19.68,1.0,47.1,M,US,standard,organic,android,1310.0,7.1785454837637,0.0,-0.5000000000000004,0.8660254037844384,1.0,35.0,8.0,2.0,27.0,0.7916666666666666,7.0,9.875000000000004,0.5333333333333333,1.0,15.6,15.6,15.6,0.37142857142857144,0.05714285714285714,0.34285714285714286,3.0,0.02238805970149254,2.9796028916241073,0.0,0.5466666666666666,-0.585788662239446,0.3888888888888889,0.0,0.0,0.7916666666666666,15.579999999999998,0.0,0.011458333333333333,q4,normal,declining
2951,45.0,10.13,0.0,45.8,F,UK,basic,referral,ios,63.0,4.1588830833596715,1.0,0.8660254037844387,-0.4999999999999998,1.0,11.0,5.0,0.0,6.0,12.541666666666666,5.0,14.916666666666664,1.111111111111111,1.0,19.98,19.98,19.98,0.2727272727272727,0.09090909090909091,0.18181818181818182,3.0,0.0,2.315501318260592,0.0,0.8441666666666667,-0.15762894420358303,0.1746031746031746,0.0,1.0,0.0,127.04708333333333,0.0,0.428125,q4,normal,stable
4758,61.0,8.71,0.0,75.4,M,PK,basic,paid_search,ios,204.0,5.3230099791384085,0.0,-2.4492935982947064e-16,1.0,1.0,17.0,4.0,1.0,13.0,6.458333333333333,3.0,21.625,0.5,1.0,10.75,10.75,10.75,0.5882352941176471,0.17647058823529413,0.29411764705882354,3.0,0.0,2.1644717908644115,0.0,0.4838888888888889,-0.7054447083703514,0.18888888888888888,0.0,0.0,0.0,56.25208333333334,1.0,0.428125,q5,normal,declining
4882,64.0,9.39,2.0,69.6,M,US,basic,organic,android,1396.0,7.242082359256962,0.0,-1.0,-1.8369701987210297e-16,0.0,62.0,21.0,3.0,41.0,0.4583333333333333,14.0,8.5,0.9545454545454544,5.0,132.12,26.424,60.99,0.43548387096774194,0.1774193548387097,0.46774193548387094,3.0,0.04207573632538569,2.2396452932201716,0.0,0.14904761904761907,-1.8385516307348138,0.6888888888888889,0.0,0.0,0.9166666666666666,4.30375,0.0,0.428125,q5,normal,stable
2420,41.0,9.7,1.0,50.6,F,PK,basic,paid_search,android,597.0,6.393590753950631,0.0,-0.5000000000000004,0.8660254037844384,0.0,19.0,9.0,3.0,10.0,2.5416666666666665,7.0,18.458333333333336,1.3846153846153846,1.0,38.06,38.06,38.06,0.3157894736842105,0.10526315789473684,0.5263157894736842,3.0,0.04784688995215311,2.272125885509337,0.0,0.485,-0.7031975164134467,0.2111111111111111,0.0,0.0,2.5416666666666665,24.654166666666665,0.0,0.144375,q4,normal,stable
855,36.0,20.19,0.0,55.0,M,PK,standard,organic,ios,417.0,6.035481432524756,0.0,0.49999999999999994,-0.8660254037844387,0.0,13.0,9.0,2.0,4.0,2.0416666666666665,7.0,35.666666666666664,2.571428571428571,2.0,37.9,18.95,28.4,0.6153846153846154,0.23076923076923078,0.5384615384615384,3.0,0.0,3.005187432324746,0.0,1.4421428571428572,0.37304029802499666,0.14444444444444443,0.0,0.0,0.0,41.22125,0.0,0.428125,q3,high,growing
195,33.0,19.56,2.0,66.0,M,US,standard,social,ios,1344.0,7.20414929203594,0.0,-0.8660254037844386,0.5000000000000001,1.0,13.0,2.0,0.0,11.0,28.5,1.0,28.5,0.2857142857142857,3.0,55.79,18.596666666666668,26.12,0.46153846153846156,0.0,0.3076923076923077,3.0,0.04366812227074236,2.9734866646066713,0.0,1.397142857142857,0.34156130612868413,0.14444444444444443,0.0,0.0,57.0,557.4599999999999,0.0,0.144375,q2,high,declining
831,48.0,8.6,2.0,54.4,M,DE,basic,social,android,359.0,5.886104031450156,0.0,-0.4999999999999997,-0.8660254037844388,0.0,49.0,18.0,5.0,31.0,1.8333333333333333,11.0,9.041666666666664,1.0588235294117645,6.0,109.69,18.281666666666666,54.4,0.4897959183673469,0.08163265306122448,0.46938775510204084,3.0,0.15424164524421594,2.151762203259462,0.0,0.172,-1.7037485919053417,0.5444444444444444,0.0,0.0,3.6666666666666665,15.766666666666666,0.0,0.07916666666666666,q5,normal,stable
223,55.0,18.44,0.0,40.6,M,US,standard,organic,ios,991.0,6.899723107284872,0.0,-0.8660254037844386,0.5000000000000001,0.0,35.0,11.0,6.0,24.0,0.125,9.0,13.125000000000004,0.8148148148148148,2.0,52.32,26.16,30.59,0.45714285714285713,0.17142857142857143,0.2571428571428571,3.0,0.0,2.914522218128448,0.0,0.5122222222222222,-0.6496620686202064,0.3888888888888889,0.0,0.0,0.0,2.305,0.0,0.144375,q5,normal,stable
2789,33.0,19.01,0.0,59.9,M,AE,standard,social,web,26.0,3.295836866004329,1.0,1.2246467991473532e-16,-1.0,0.0,8.0,8.0,4.0,0.0,0.20833333333333334,6.0,7.333333333333333,5.333333333333333,1.0,11.39,11.39,11.39,0.875,0.25,0.5,3.0,0.0,2.944965156500338,0.0,2.1122222222222224,0.7524637577163648,0.3076923076923077,0.0,0.0,0.0,3.960416666666667,0.0,0.07916666666666666,q2,high,growing
5044,34.0,8.92,0.0,39.4,F,PK,basic,social,android,797.0,6.682108597449809,0.0,0.8660254037844387,-0.4999999999999998,0.0,12.0,6.0,1.0,6.0,2.875,6.0,15.916666666666671,1.3333333333333333,0.0,0.0,0.0,0.0,0.4166666666666667,0.25,0.5833333333333334,2.0,0.0,2.188295946591918,0.0,0.6861538461538461,-0.362184599749702,0.13333333333333333,0.0,0.0,0.0,25.645,0.0,0.428125,q2,normal,stable
2844,40.0,19.27,0.0,33.5,M,US,standard,paid_search,android,686.0,6.532334292222349,0.0,-0.8660254037844384,-0.5000000000000004,1.0,14.0,5.0,2.0,9.0,0.625,5.0,18.54166666666667,0.8333333333333333,2.0,16.51,8.255,10.55,0.42857142857142855,0.07142857142857142,0.42857142857142855,3.0,0.0,2.958549482426275,0.0,1.2846666666666666,0.25825326176096874,0.15555555555555556,0.0,0.0,0.0,12.04375,0.0,0.428125,q3,high,stable
4119,29.0,8.49,2.0,25.8,M,US,basic,social,,306.0,5.726847747587197,0.0,-0.8660254037844384,-0.5000000000000004,0.0,13.0,1.0,0.0,12.0,7.75,1.0,22.708333333333332,0.13333333333333333,1.0,34.79,34.79,34.79,0.5384615384615384,0.0,0.46153846153846156,3.0,0.17857142857142858,2.138889000323256,0.0,0.6064285714285714,-0.483812824519922,0.14444444444444443,0.0,0.0,15.5,65.7975,0.0,0.04583333333333333,q2,normal,declining
5550,31.0,21.22,0.0,31.7,F,PK,standard,referral,web,1060.0,6.966967138613983,0.0,-0.8660254037844384,-0.5000000000000004,0.0,101.0,27.0,4.0,74.0,0.20833333333333334,15.0,4.208333333333329,0.7012987012987013,9.0,122.95,13.661111111111111,23.59,0.48514851485148514,0.13861386138613863,0.5346534653465347,3.0,0.0,3.054944133185837,0.0,0.2080392156862745,-1.5230803439018894,1.1222222222222222,0.0,0.0,0.0,4.420833333333333,0.0,0.428125,q2,normal,stable
1792,44.0,9.56,0.0,71.7,M,IN,basic,organic,ios,1235.0,7.119635638017636,0.0,0.8660254037844386,0.5000000000000001,0.0,37.0,13.0,5.0,24.0,0.20833333333333334,10.0,11.041666666666668,0.962962962962963,3.0,42.11,14.036666666666667,19.13,0.4864864864864865,0.21621621621621623,0.5135135135135135,3.0,0.0,2.25758772706331,0.0,0.25157894736842107,-1.341019139057903,0.4111111111111111,0.0,0.0,0.0,1.991666666666667,0.0,0.428125,q4,normal,stable
34,53.0,8.93,4.0,33.7,Other,UK,basic,paid_search,ios,785.0,6.666956792429207,0.0,0.49999999999999994,-0.8660254037844387,1.0,25.0,13.0,3.0,12.0,1.0833333333333333,10.0,20.708333333333336,1.7333333333333334,5.0,94.81,18.962,47.21,0.64,0.16,0.56,3.0,0.14723926380368096,2.189416394888408,0.0,0.34346153846153843,-1.0399806016538864,0.2777777777777778,0.0,0.0,4.333333333333333,9.674166666666666,0.0,0.038125,q5,normal,growing
4558,,8.98,2.0,61.5,M,PK,basic,partner,web,1207.0,7.0967213784947605,0.0,1.0,6.123233995736766e-17,0.0,34.0,12.0,5.0,22.0,0.375,11.0,12.083333333333329,0.9600000000000002,6.0,106.6,17.766666666666666,40.12,0.4411764705882353,0.058823529411764705,0.47058823529411764,3.0,0.04850444624090541,2.194999882314108,1.0,0.25657142857142856,-1.3221130466301612,0.37777777777777777,0.0,0.0,0.75,3.3675,0.0,0.428125,unknown,normal,stable
